,Lochristi,18.907,22.073
,Oosterzele,13.204,13.531
,Waarschoot,8.000,7.871
,Horebeke,1.968,2.040
,Maldegem,22.036,23.420
,Zele,20.394,20.848
,Assenede,13.579,14.052
,Laarne,11.610,12.405
,Eeklo,19.069,20.551
,Zelzate,12.094,12.494
,Gavere,11.847,12.595
,Knesselare,7.794,8.177
,Kruishoutem,7.849,8.132
,Maarkedal,6.448,6.341
,Haaltert,17.274,17.962
,Geraardsbergen,30.945,32.981
,Destelbergen,17.172,17.834
,Zulte,14.528,15.498
,Evergem,31.155,34.485
,Melle,10.349,11.135
,Lovendegem,9.264,9.507
,Ninove,34.559,37.965
,Lede,16.949,18.237
,Kruibeke,14.556,16.421
,Sint-Lievens-Houtem,9.171,10.171
,De Pinte,10.124,10.310
,Deinze,27.559,30.380
,Oudenaarde,27.788,30.788
,Herzele,16.276,17.454
,Stekene,16.532,17.782
,Temse,25.533,29.182
,Waasmunster,10.237,10.675
,Sint-Gillis-Waas,17.302,19.235
,Wetteren,22.795,24.755
,Brakel,13.709,14.640
,Buggenhout,13.752,14.508
,Nevele,10.993,12.039
,Denderleeuw,16.984,19.556
,Kaprijke,6.175,6.337
,Moerbeke,5.753,6.278
,Wortegem-Petegem,6.071,6.332
,Dendermonde,43.137,44.938
,Zottegem,24.574,25.806
,Berlare,13.679,14.847
,Lokeren,36.458,40.494
,Lebbeke,17.234,18.718
,Nazareth,10.876,11.538
,Beveren,44.977,47.423
,Ronse,23.849,25.783
,Wichelen,10.961,11.509
Flemish Brabant,Hoeilaart,9.783,10.796
,Tielt-Winge,9.814,10.643
,Kortenaken,7.443,7.893
,Merchtem,14.250,15.920
,Landen,14.288,15.840
,Asse,27.931,32.069
,Pepingen,4.247,4.402
,Sint-Pieters-Leeuw,30.013,33.270
,Zaventem,26.901,32.678
,Linkebeek,4.751,4.745
,Wemmel,13.932,15.721
,Drogenbos,4.693,5.222
,Huldenberg,9.009,9.678
,Bertem,8.843,9.725
,Londerzeel,17.153,18.233
,Meise,18.347,18.612
,Kapelle-op-den-Bos,8.783,9.316
,Sint-Genesius-Rode,17.998,17.955
,Glabbeek,5.071,5.382
,Aarschot,27.495,29.288
,Begijnendijk,9.088,10.029
,Bierbeek,8.822,9.881
,Holsbeek,8.857,9.963
,Leuven,88.014,98.376
,Opwijk,11.718,14.140
,Lubbeek,13.620,14.213
,Boortmeerbeek,11.397,12.057
,Haacht,13.158,14.262
,Wezembeek-Oppem,13.622,14.032
,Affligem,11.651,13.016
,Kraainem,12.692,13.697
,Bever,1.980,2.185
,Keerbergen,11.992,12.803
,Liedekerke,11.800,12.902
,Machelen,11.838,14.454
,Grimbergen,32.930,36.558
,Halle,33.655,38.023
,Ternat,14.418,15.335
,Oud-Heverlee,10.522,10.989
,Tienen,31.479,33.950
,Roosdaal,10.573,11.367
,Tremelo,13.339,14.751
,Steenokkerzeel,10.419,11.859
,Kampenhout,10.732,11.597
,Dilbeek,37.722,41.243
,Vilvoorde,34.982,42.418
,Linter,6.852,7.196
,Scherpenheuvel-Zichem,21.720,22.809
,Tervuren,20.181,21.461
,Geetbets,5.793,5.987
,Bekkevoort,5.726,6.080
,Lennik,8.588,8.963
,Herne,6.372,6.612
,Galmaarden,7.741,8.632
,Kortenberg,17.355,19.647
,Zemst,20.553,22.778
,Hoegaarden,6.014,6.819
,Beersel,22.880,24.588
,Diest,22.132,23.429
,Rotselaar,14.587,16.397
,Boutersem,7.234,8.063
,Gooik,8.834,9.218
,Herent,18.848,21.034
,Overijse,23.738,24.774
,Zoutleeuw,7.791,8.324
Walloon Brabant,Walhain,5.412,6.898
,Terhulpen,6.943,7.404
,Lasne,13.512,14.195
